match_number,season,date,city,venue,team_1,team_2,winner,win_by_runs,win_by_wickets,player_of_match
34.0,2015,2015-05-02,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,22,0,DA Warner
49.0,2024,2024-05-01,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,Punjab Kings,Punjab Kings,0,7,Harpreet Brar
55.0,2015,2015-05-17,Bangalore,M Chinnaswamy Stadium,Delhi Daredevils,Royal Challengers Bangalore,,0,0,
16.0,2018,2018-04-19,Chandigarh,Punjab Cricket Association IS Bindra Stadium,Kings XI Punjab,Sunrisers Hyderabad,Kings XI Punjab,15,0,CH Gayle
30.0,2008,2008-05-09,Jaipur,Sawai Mansingh Stadium,Deccan Chargers,Rajasthan Royals,Rajasthan Royals,0,8,YK Pathan
23.0,2008,2008-05-04,Mumbai,Dr DY Patil Sports Academy,Delhi Daredevils,Mumbai Indians,Mumbai Indians,29,0,SM Pollock
40.0,2018,2018-05-08,Jaipur,Sawai Mansingh Stadium,Rajasthan Royals,Kings XI Punjab,Rajasthan Royals,15,0,JC Buttler
13.0,2012,2012-04-12,Chennai,"MA Chidambaram Stadium, Chepauk",Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,0,5,F du Plessis
40.0,2017,2017-05-02,Delhi,Feroz Shah Kotla,Delhi Daredevils,Sunrisers Hyderabad,Delhi Daredevils,0,6,Mohammed Shami
4.0,2020,2020-09-22,,Sharjah Cricket Stadium,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,16,0,SV Samson
,2009,2009-05-24,Johannesburg,New Wanderers Stadium,Deccan Chargers,Royal Challengers Bangalore,Deccan Chargers,6,0,A Kumble
,2010,2010-04-25,Mumbai,Dr DY Patil Sports Academy,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,22,0,SK Raina
,2009,2009-05-22,Centurion,SuperSport Park,Deccan Chargers,Delhi Daredevils,Deccan Chargers,0,6,AC Gilchrist
46.0,2010,2010-04-12,Nagpur,"Vidarbha Cricket Association Stadium, Jamtha",Deccan Chargers,Royal Challengers Bangalore,Deccan Chargers,13,0,Harmeet Singh
37.0,2008,2008-05-15,Delhi,Feroz Shah Kotla,Deccan Chargers,Delhi Daredevils,Delhi Daredevils,12,0,A Mishra
66.0,2023,2023-05-19,Dharamsala,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Punjab Kings,Rajasthan Royals,Rajasthan Royals,0,4,D Padikkal
53.0,2019,2019-05-04,Delhi,Arun Jaitley Stadium,Rajasthan Royals,Delhi Capitals,Delhi Capitals,0,5,A Mishra
25.0,2012,2012-04-20,Chandigarh,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,0,5,CH Gayle
26.0,2017,2017-04-23,Rajkot,Saurashtra Cricket Association Stadium,Gujarat Lions,Kings XI Punjab,Kings XI Punjab,26,0,HM Amla
28.0,2013,2013-04-21,Delhi,Feroz Shah Kotla,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,0,9,V Sehwag
33.0,2024,2024-04-18,Mohali,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",Mumbai Indians,Punjab Kings,Mumbai Indians,9,0,JJ Bumrah
29.0,2020,2020-10-13,,Dubai International Cricket Stadium,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,20,0,RA Jadeja
