match_number,batsman,runs_scored,balls_faced,fours,sixes,strike_rate,bowler,balls_bowled,runs_conceded,wickets,overs,economy
61,0,0.0,0.0,0.0,0.0,0.0,N Burger,2.0,0.0,0,0.2,0.0
61,RD Gaikwad,0.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
61,Sameer Rizvi,8.0,2.0,2.0,0.0,400.0,0,0.0,0.0,0,0.0,0.0
61,0,0.0,0.0,0.0,0.0,0.0,TA Boult,2.0,8.0,0,0.2,40.0
1,A Choudhary,6.0,2.0,0.0,1.0,300.0,A Choudhary,28.0,55.0,caught,4.4,12.499999999999998
1,A Flintoff,24.0,25.0,2.0,1.0,96.0,A Flintoff,24.0,45.0,caught,4.0,11.25
1,A Nehra,0.0,1.0,0.0,0.0,0.0,A Nehra,43.0,62.0,caughtcaughtbowled,7.1,8.732394366197184
1,A Raghuvanshi,30.0,22.0,2.0,1.0,136.36363636363635,0,0.0,0.0,0,0.0,0.0
1,A Symonds,5.0,9.0,0.0,0.0,55.55555555555556,A Symonds,26.0,28.0,0,4.2,6.666666666666666
1,AA Noffke,9.0,12.0,1.0,0.0,75.0,AA Noffke,25.0,41.0,caught,4.1,10.0
1,0,0.0,0.0,0.0,0.0,0.0,AB Agarkar,28.0,25.0,caughtcaughtcaught,4.4,5.681818181818182
1,0,0.0,0.0,0.0,0.0,0.0,AB Dinda,20.0,9.0,bowledcaught,3.2,2.8125
1,AB de Villiers,57.0,37.0,4.0,2.0,154.05405405405406,0,0.0,0.0,0,0.0,0.0
1,AC Gilchrist,54.0,39.0,3.0,3.0,138.46153846153845,0,0.0,0.0,0,0.0,0.0
1,AD Mathews,65.0,49.0,5.0,4.0,132.6530612244898,AD Mathews,26.0,27.0,caught,4.2,6.428571428571428
1,AD Russell,8.0,11.0,1.0,0.0,72.72727272727273,AD Russell,61.0,83.0,caught,10.1,8.217821782178218
1,0,0.0,0.0,0.0,0.0,0.0,AF Milne,15.0,19.0,0,2.3,8.260869565217392
1,AJ Finch,5.0,5.0,1.0,0.0,100.0,0,0.0,0.0,0,0.0,0.0
1,AM Nayar,35.0,14.0,2.0,3.0,250.0,0,0.0,0.0,0,0.0,0.0
1,AM Rahane,193.0,128.0,19.0,10.0,150.78125,0,0.0,0.0,0,0.0,0.0
1,0,0.0,0.0,0.0,0.0,0.0,AN Ahmed,13.0,17.0,0,2.1,8.095238095238095
1,AP Tare,31.0,30.0,3.0,1.0,103.33333333333334,0,0.0,0.0,0,0.0,0.0
1,0,0.0,0.0,0.0,0.0,0.0,AS Joseph,50.0,79.0,caughtcaught,8.2,9.634146341463415
1,AT Rayudu,236.0,227.0,19.0,7.0,103.9647577092511,0,0.0,0.0,0,0.0,0.0
1,Anirudh Singh,14.0,14.0,1.0,0.0,100.0,0,0.0,0.0,0,0.0,0.0
1,Anuj Rawat,48.0,26.0,4.0,3.0,184.6153846153846,0,0.0,0.0,0,0.0,0.0
1,B Akhil,0.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
1,0,0.0,0.0,0.0,0.0,0.0,B Kumar,25.0,28.0,caughtcaught,4.1,6.829268292682928
1,0,0.0,0.0,0.0,0.0,0.0,B Lee,25.0,41.0,bowledcaught,4.1,10.0
1,B Sai Sudharsan,22.0,17.0,3.0,0.0,129.41176470588235,0,0.0,0.0,0,0.0,0.0
1,BA Stokes,7.0,6.0,1.0,0.0,116.66666666666667,0,0.0,0.0,0,0.0,0.0
1,BB McCullum,158.0,77.0,10.0,13.0,205.19480519480518,0,0.0,0.0,0,0.0,0.0
1,BCJ Cutting,16.0,6.0,0.0,2.0,266.66666666666663,BCJ Cutting,24.0,35.0,run out,4.0,8.75
1,BJ Hodge,13.0,12.0,1.0,1.0,108.33333333333333,BJ Hodge,12.0,14.0,caught,2.0,7.0
1,0,0.0,0.0,0.0,0.0,0.0,Bipul Sharma,6.0,4.0,caught,1.0,4.0
1,C Green,18.0,22.0,1.0,0.0,81.81818181818183,C Green,21.0,27.0,caughtcaught,3.3,8.181818181818182
1,C de Grandhomme,4.0,6.0,1.0,0.0,66.66666666666666,0,0.0,0.0,0,0.0,0.0
1,CA Lynn,49.0,36.0,4.0,3.0,136.11111111111111,0,0.0,0.0,0,0.0,0.0
1,CA Pujara,10.0,16.0,2.0,0.0,62.5,0,0.0,0.0,0,0.0,0.0
1,CH Gayle,32.0,23.0,2.0,3.0,139.1304347826087,0,0.0,0.0,0,0.0,0.0
1,CJ Anderson,57.0,49.0,4.0,3.0,116.3265306122449,CJ Anderson,30.0,54.0,caught,5.0,10.8
1,0,0.0,0.0,0.0,0.0,0.0,CK Langeveldt,27.0,30.0,caughtbowled,4.3,6.976744186046512
1,CL White,6.0,10.0,0.0,0.0,60.0,CL White,7.0,24.0,0,1.1,21.818181818181817
1,CM Gautam,7.0,7.0,1.0,0.0,100.0,0,0.0,0.0,0,0.0,0.0
1,0,0.0,0.0,0.0,0.0,0.0,CV Varun,49.0,66.0,stumpedcaught,8.1,8.148148148148149
1,D Padikkal,10.0,10.0,1.0,0.0,100.0,0,0.0,0.0,0,0.0,0.0
1,DA Warner,35.0,29.0,6.0,1.0,120.6896551724138,0,0.0,0.0,0,0.0,0.0
1,DE Bollinger,3.0,5.0,0.0,0.0,60.0,DE Bollinger,24.0,35.0,caughtretired hurt,4.0,8.75
1,DJ Bravo,92.0,53.0,7.0,7.0,173.58490566037736,DJ Bravo,93.0,89.0,caughtcaughtcaughtcaughtcaughtcaught,15.3,5.816993464052287
1,DJ Hooda,16.0,12.0,0.0,1.0,133.33333333333331,DJ Hooda,6.0,7.0,caught,1.0,7.0
1,DJ Hussey,12.0,12.0,1.0,0.0,100.0,0,0.0,0.0,0,0.0,0.0
1,DJ Mitchell,22.0,18.0,0.0,2.0,122.22222222222223,0,0.0,0.0,0,0.0,0.0
1,DL Chahar,0.0,1.0,0.0,0.0,0.0,DL Chahar,118.0,133.0,caughtcaughtbowledlbw,19.4,6.855670103092784
1,DP Conway,4.0,14.0,0.0,0.0,28.57142857142857,0,0.0,0.0,0,0.0,0.0
1,DPMD Jayawardene,66.0,55.0,8.0,1.0,120.0,0,0.0,0.0,0,0.0,0.0
1,DT Christian,1.0,3.0,0.0,0.0,33.33333333333333,DT Christian,13.0,21.0,0,2.1,10.0
1,E Lewis,0.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
1,EJG Morgan,20.0,22.0,2.0,0.0,90.9090909090909,0,0.0,0.0,0,0.0,0.0
1,F du Plessis,130.0,108.0,15.0,3.0,120.37037037037037,0,0.0,0.0,0,0.0,0.0
1,G Gambhir,99.0,84.0,12.0,2.0,117.85714285714286,0,0.0,0.0,0,0.0,0.0
1,GJ Maxwell,39.0,31.0,3.0,2.0,125.80645161290323,GJ Maxwell,6.0,7.0,0,1.0,7.0
1,HH Gibbs,19.0,24.0,2.0,0.0,79.16666666666666,0,0.0,0.0,0,0.0,0.0
1,HH Pandya,66.0,64.0,6.0,2.0,103.125,HH Pandya,49.0,68.0,caughtcaught and bowledcaught,8.1,8.395061728395062
1,HV Patel,4.0,3.0,0.0,0.0,133.33333333333331,HV Patel,25.0,27.0,lbwlbwcaughtcaughtbowledrun out,4.1,6.585365853658537
1,Harbhajan Singh,57.0,41.0,9.0,1.0,139.02439024390242,Harbhajan Singh,140.0,163.0,caughtcaught and bowledbowledcaughtcaught and bowledcaughtrun out,23.2,7.025862068965518
1,Harshit Rana,5.0,6.0,1.0,0.0,83.33333333333334,Harshit Rana,18.0,32.0,0,3.0,10.666666666666666
1,0,0.0,0.0,0.0,0.0,0.0,I Sharma,73.0,81.0,caughtbowledlbwbowled,12.1,6.694214876033058
1,IK Pathan,4.0,7.0,0.0,0.0,57.14285714285714,IK Pathan,12.0,15.0,0,2.0,7.5
1,Imran Tahir,2.0,2.0,0.0,0.0,100.0,Imran Tahir,36.0,32.0,caughtcaughtcaughtcaught,6.0,5.333333333333333
1,Iqbal Abdulla,3.0,3.0,0.0,0.0,100.0,Iqbal Abdulla,24.0,26.0,caught,4.0,6.5
1,Ishan Kishan,68.0,49.0,6.0,2.0,138.77551020408163,0,0.0,0.0,0,0.0,0.0
1,J Botha,7.0,6.0,1.0,0.0,116.66666666666667,J Botha,22.0,23.0,lbw,3.4,6.764705882352941
1,0,0.0,0.0,0.0,0.0,0.0,J Little,24.0,42.0,bowled,4.0,10.5
1,JA Morkel,18.0,18.0,1.0,1.0,100.0,JA Morkel,44.0,52.0,0,7.2,7.222222222222222
1,JC Buttler,0.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
1,JDP Oram,8.0,6.0,0.0,1.0,133.33333333333331,JDP Oram,24.0,30.0,caughtrun out,4.0,7.5
1,JEC Franklin,25.0,31.0,2.0,0.0,80.64516129032258,JEC Franklin,12.0,22.0,caught,2.0,11.0
1,JH Kallis,157.0,118.0,17.0,4.0,133.05084745762713,JH Kallis,81.0,132.0,caughtbowledcaught,13.3,9.924812030075188
1,JJ Bumrah,6.0,5.0,0.0,0.0,120.0,JJ Bumrah,113.0,174.0,caughtlbwcaughtrun outcaughtcaught,18.5,9.405405405405405
1,JL Pattinson,11.0,8.0,2.0,0.0,137.5,JL Pattinson,25.0,27.0,lbw,4.1,6.585365853658537
1,JP Duminy,9.0,7.0,1.0,0.0,128.57142857142858,0,0.0,0.0,0,0.0,0.0
1,0,0.0,0.0,0.0,0.0,0.0,JR Hazlewood,24.0,23.0,caughtcaught,4.0,5.75
1,Jaskaran Singh,4.0,4.0,0.0,0.0,100.0,Jaskaran Singh,25.0,36.0,caught,4.1,8.78048780487805
1,Joginder Sharma,16.0,15.0,0.0,1.0,106.66666666666667,Joginder Sharma,24.0,25.0,caught,4.0,6.25
1,KA Jamieson,4.0,4.0,0.0,0.0,100.0,KA Jamieson,25.0,27.0,caught,4.1,6.585365853658537
1,KA Pollard,32.0,42.0,2.0,1.0,76.19047619047619,KA Pollard,38.0,34.0,caughtcaught,6.2,5.483870967741935
1,KD Karthik,38.0,32.0,3.0,2.0,118.75,0,0.0,0.0,0,0.0,0.0
1,KH Pandya,51.0,33.0,6.0,2.0,154.54545454545453,KH Pandya,74.0,91.0,caughtlbwcaughtbowledbowled,12.2,7.4590163934426235
1,KM Jadhav,68.0,61.0,6.0,3.0,111.47540983606557,0,0.0,0.0,0,0.0,0.0
1,KP Pietersen,21.0,14.0,0.0,2.0,150.0,0,0.0,0.0,0,0.0,0.0
1,0,0.0,0.0,0.0,0.0,0.0,KV Sharma,12.0,24.0,caught,2.0,12.0
1,0,0.0,0.0,0.0,0.0,0.0,L Balaji,48.0,46.0,caught,8.0,5.75
1,0,0.0,0.0,0.0,0.0,0.0,L Ngidi,26.0,38.0,caughtcaughtcaught,4.2,9.047619047619047
1,LMP Simmons,8.0,8.0,0.0,1.0,100.0,0,0.0,0.0,0,0.0,0.0
1,LR Shukla,14.0,10.0,2.0,0.0,140.0,LR Shukla,33.0,50.0,caught and bowledcaught,5.3,9.433962264150944
1,LS Livingstone,15.0,5.0,2.0,1.0,300.0,LS Livingstone,12.0,14.0,0,2.0,7.0
1,0,0.0,0.0,0.0,0.0,0.0,M Ashwin,24.0,16.0,caught,4.0,4.0
1,M Jansen,0.0,2.0,0.0,0.0,0.0,M Jansen,28.0,30.0,caughtcaughtrun out,4.4,6.8181818181818175
1,0,0.0,0.0,0.0,0.0,0.0,M Kartik,18.0,18.0,caught and bowled,3.0,6.0
1,0,0.0,0.0,0.0,0.0,0.0,M Markande,24.0,24.0,lbwlbwstumped,4.0,6.0
1,0,0.0,0.0,0.0,0.0,0.0,M Morkel,48.0,34.0,caughtcaughtcaught,8.0,4.25
1,0,0.0,0.0,0.0,0.0,0.0,M Theekshana,24.0,37.0,0,4.0,9.25
1,M Vijay,15.0,30.0,2.0,0.0,50.0,0,0.0,0.0,0,0.0,0.0
1,MA Wood,1.0,5.0,0.0,0.0,20.0,MA Wood,25.0,50.0,0,4.1,12.195121951219512
1,MC Henriques,52.0,37.0,3.0,2.0,140.54054054054055,MC Henriques,13.0,20.0,run out,2.1,9.523809523809524
1,MC Juneja,8.0,9.0,1.0,0.0,88.88888888888889,0,0.0,0.0,0,0.0,0.0
1,MEK Hussey,3.0,13.0,0.0,0.0,23.076923076923077,0,0.0,0.0,0,0.0,0.0
1,MJ McClenaghan,2.0,2.0,0.0,0.0,100.0,MJ McClenaghan,43.0,71.0,caught,7.1,10.0
