batsman,total_runs,total_balls_faced,total_fours,total_sixes,strike_rate,total_balls_bowled,total_runs_conceded,total_wickets,overs_bowled,economy
A Ashish Reddy,178.0,121.0,10.0,11.0,147.11,190.0,271.0,14,31.4,8.56
A Badoni,179.0,133.0,17.0,7.0,134.59,25.0,37.0,5,4.1,8.88
A Chandila,4.0,7.0,0.0,0.0,57.14,48.0,42.0,2,8.0,5.25
A Choudhary,25.0,20.0,1.0,1.0,125.0,66.0,93.0,3,11.0,8.45
A Dananjaya,4.0,5.0,0.0,0.0,80.0,25.0,47.0,1,4.1,11.28
A Flintoff,62.0,57.0,5.0,2.0,108.77,66.0,106.0,3,11.0,9.64
A Kamboj,2.0,2.0,0.0,0.0,100.0,19.0,24.0,1,3.1,7.58
A Kumble,35.0,49.0,3.0,0.0,71.43,435.0,517.0,13,72.3,7.13
A Mishra,381.0,440.0,31.0,5.0,86.59,2500.0,3095.0,35,416.4,7.43
A Mithun,34.0,26.0,4.0,1.0,130.77,181.0,281.0,6,30.1,9.31
A Nehra,41.0,63.0,3.0,1.0,65.08,782.0,1019.0,16,130.2,7.82
A Nortje,49.0,51.0,6.0,0.0,96.08,447.0,718.0,11,74.3,9.64
A Singh,2.0,10.0,0.0,0.0,20.0,109.0,147.0,5,18.1,8.09
A Symonds,881.0,680.0,66.0,40.0,129.56,540.0,694.0,23,90.0,7.71
A Uniyal,4.0,7.0,0.0,0.0,57.14,38.0,67.0,2,6.2,10.58
A Zampa,15.0,25.0,1.0,0.0,60.0,115.0,172.0,5,19.1,8.97
AA Chavan,12.0,11.0,2.0,0.0,109.09,54.0,89.0,3,9.0,9.89
AA Jhunjhunwala,116.0,110.0,6.0,5.0,105.45,67.0,90.0,7,11.1,8.06
AA Noffke,9.0,12.0,1.0,0.0,75.0,25.0,41.0,1,4.1,9.84
AB Agarkar,179.0,160.0,13.0,5.0,111.87,445.0,617.0,18,74.1,8.32
AB Dinda,25.0,49.0,2.0,0.0,51.02,435.0,573.0,12,72.3,7.9
AB McDonald,123.0,103.0,9.0,4.0,119.42,163.0,226.0,9,27.1,8.32
AC Gilchrist,14.0,20.0,3.0,0.0,70.0,1.0,0.0,1,0.1,0.0
AC Thomas,20.0,19.0,1.0,1.0,105.26,123.0,148.0,4,20.3,7.22
AC Voges,153.0,116.0,13.0,3.0,131.9,44.0,67.0,6,7.2,9.14
AD Mascarenhas,79.0,79.0,5.0,1.0,100.0,261.0,308.0,9,43.3,7.08
AD Mathews,723.0,594.0,44.0,29.0,121.72,734.0,1013.0,32,122.2,8.28
AD Russell,2418.0,1456.0,167.0,203.0,166.07,1691.0,2552.0,50,281.5,9.05
AF Milne,23.0,31.0,0.0,1.0,74.19,131.0,196.0,5,21.5,8.98
AG Murtaza,10.0,14.0,1.0,0.0,71.43,49.0,72.0,3,8.1,8.82
AJ Finch,250.0,207.0,27.0,10.0,120.77,44.0,67.0,5,7.2,9.14
AJ Hosein,16.0,11.0,1.0,1.0,145.45,24.0,41.0,1,4.0,10.25
AJ Tye,91.0,79.0,6.0,5.0,115.19,329.0,504.0,13,54.5,9.19
AK Markram,265.0,219.0,26.0,7.0,121.0,117.0,165.0,12,19.3,8.46
AL Menaria,183.0,175.0,11.0,7.0,104.57,101.0,124.0,9,16.5,7.37
AM Nayar,332.0,282.0,30.0,9.0,117.73,226.0,308.0,15,37.4,8.18
AM Rahane,1.0,6.0,0.0,0.0,16.67,6.0,5.0,1,1.0,5.0
AN Ahmed,36.0,27.0,4.0,1.0,133.33,144.0,230.0,6,24.0,9.58
AP Dole,34.0,23.0,3.0,1.0,147.83,47.0,78.0,2,7.5,9.96
AR Patel,1675.0,1329.0,110.0,80.0,126.03,3014.0,3642.0,53,502.2,7.25
AS Joseph,27.0,32.0,3.0,0.0,84.38,118.0,180.0,5,19.4,9.15
AS Rajpoot,26.0,41.0,2.0,1.0,63.41,152.0,206.0,7,25.2,8.13
AS Raut,73.0,59.0,7.0,0.0,123.73,24.0,39.0,4,4.0,9.75
AS Roy,22.0,19.0,2.0,0.0,115.79,103.0,138.0,5,17.1,8.04
AU Rashid,22.0,17.0,2.0,1.0,129.41,42.0,56.0,2,7.0,8.0
AUK Pathan,14.0,11.0,3.0,0.0,127.27,41.0,63.0,3,6.5,9.22
Abdul Samad,66.0,41.0,5.0,3.0,160.98,55.0,113.0,5,9.1,12.33
Abdur Razzak,0.0,2.0,0.0,0.0,0.0,14.0,29.0,1,2.2,12.43
Abhishek Sharma,654.0,448.0,64.0,33.0,145.98,284.0,402.0,22,47.2,8.49
Akash Deep,19.0,12.0,2.0,1.0,158.33,66.0,148.0,3,11.0,13.45
Akash Madhwal,4.0,5.0,0.0,0.0,80.0,25.0,22.0,1,4.1,5.28
Aman Hakim Khan,5.0,3.0,1.0,0.0,166.67,6.0,13.0,1,1.0,13.0
Ankit Sharma,87.0,69.0,7.0,4.0,126.09,202.0,233.0,10,33.4,6.92
Ankit Soni,7.0,9.0,0.0,1.0,77.78,63.0,64.0,3,10.3,6.1
Anureet Singh,36.0,47.0,2.0,1.0,76.6,167.0,229.0,8,27.5,8.23
Arjun Tendulkar,13.0,9.0,0.0,1.0,144.44,12.0,9.0,1,2.0,4.5
Arshad Khan,97.0,68.0,5.0,6.0,142.65,107.0,203.0,6,17.5,11.38
Arshad Khan (2),5.0,4.0,1.0,0.0,125.0,13.0,25.0,1,2.1,11.54
Arshdeep Singh,29.0,42.0,4.0,0.0,69.05,481.0,693.0,11,80.1,8.64
Atharva Taide,46.0,27.0,5.0,2.0,170.37,1.0,4.0,1,0.1,24.0
Avesh Khan,41.0,25.0,3.0,3.0,164.0,290.0,414.0,9,48.2,8.57
Azhar Mahmood,388.0,311.0,39.0,13.0,124.76,505.0,663.0,19,84.1,7.88
Azmatullah Omarzai,58.0,49.0,4.0,3.0,118.37,87.0,134.0,4,14.3,9.24
B Akhil,67.0,46.0,4.0,5.0,145.65,130.0,170.0,9,21.4,7.85
B Chipli,1.0,2.0,0.0,0.0,50.0,6.0,20.0,1,1.0,20.0
B Kumar,306.0,338.0,30.0,3.0,90.53,2943.0,3738.0,42,490.3,7.62
B Laughlin,5.0,13.0,0.0,0.0,38.46,86.0,130.0,4,14.2,9.07
B Lee,124.0,102.0,8.0,8.0,121.57,559.0,681.0,18,93.1,7.31
B Stanlake,5.0,2.0,1.0,0.0,250.0,25.0,42.0,1,4.1,10.08
BA Bhatt,6.0,7.0,0.0,1.0,85.71,42.0,61.0,2,7.0,8.71
BA Stokes,806.0,626.0,64.0,29.0,128.75,679.0,986.0,29,113.1,8.71
BAW Mendis,3.0,6.0,0.0,0.0,50.0,73.0,109.0,3,12.1,8.96
BB Sran,10.0,14.0,0.0,0.0,71.43,137.0,228.0,7,22.5,9.99
BCJ Cutting,203.0,124.0,13.0,16.0,163.71,251.0,364.0,11,41.5,8.7
BE Hendricks,1.0,3.0,0.0,0.0,33.33,73.0,98.0,2,12.1,8.05
BJ Hodge,841.0,695.0,81.0,23.0,121.01,238.0,310.0,19,39.4,7.82
BJ Rohrer,64.0,41.0,9.0,1.0,156.1,7.0,12.0,1,1.1,10.29
BMAJ Mendis,11.0,10.0,0.0,0.0,110.0,30.0,36.0,2,5.0,7.2
Basil Thampi,32.0,37.0,1.0,1.0,86.49,221.0,345.0,7,36.5,9.37
Bipul Sharma,175.0,113.0,11.0,8.0,154.87,261.0,368.0,11,43.3,8.46
C Green,707.0,472.0,62.0,32.0,149.79,443.0,633.0,26,73.5,8.57
C Munro,14.0,14.0,2.0,0.0,100.0,12.0,15.0,2,2.0,7.5
C Nanda,0.0,1.0,0.0,0.0,0.0,6.0,4.0,1,1.0,4.0
C Sakariya,20.0,31.0,3.0,0.0,64.52,162.0,234.0,7,27.0,8.67
C de Grandhomme,259.0,191.0,15.0,16.0,135.6,198.0,286.0,14,33.0,8.67
CH Gayle,2851.0,2030.0,242.0,199.0,140.44,584.0,755.0,29,97.2,7.76
CH Morris,618.0,413.0,41.0,35.0,149.64,1404.0,1899.0,36,234.0,8.12
CJ Anderson,446.0,353.0,33.0,26.0,126.35,315.0,525.0,19,52.3,10.0
CJ Jordan,81.0,81.0,3.0,3.0,100.0,314.0,483.0,9,52.2,9.23
CJ McKay,8.0,15.0,0.0,0.0,53.33,18.0,24.0,1,3.0,8.0
CK Kapugedera,8.0,11.0,0.0,0.0,72.73,11.0,41.0,2,1.5,22.36
CK Langeveldt,8.0,9.0,0.0,1.0,88.89,46.0,86.0,2,7.4,11.22
CL White,220.0,168.0,14.0,11.0,130.95,46.0,86.0,5,7.4,11.22
CR Brathwaite,181.0,120.0,10.0,16.0,150.83,230.0,332.0,11,38.2,8.66
CR Woakes,78.0,77.0,7.0,2.0,101.3,347.0,493.0,10,57.5,8.52
CRD Fernando,4.0,3.0,0.0,0.0,133.33,76.0,89.0,2,12.4,7.03
CV Varun,25.0,49.0,2.0,0.0,51.02,338.0,482.0,9,56.2,8.56
D Brevis,8.0,11.0,1.0,0.0,72.73,3.0,8.0,1,0.3,16.0
D Kalyankrishna,3.0,8.0,0.0,0.0,37.5,20.0,35.0,1,3.2,10.5
D Pretorius,44.0,28.0,3.0,3.0,157.14,113.0,172.0,5,18.5,9.13
D Salunkhe,33.0,24.0,5.0,0.0,137.5,31.0,43.0,3,5.1,8.32
D Wiese,117.0,87.0,10.0,4.0,134.48,194.0,301.0,7,32.2,9.31
D du Preez,10.0,13.0,0.0,0.0,76.92,18.0,24.0,1,3.0,8.0
DA Warner,97.0,49.0,13.0,3.0,197.96,2.0,2.0,1,0.2,6.0
DAJ Bracewell,12.0,9.0,1.0,0.0,133.33,25.0,32.0,1,4.1,7.68
DB Ravi Teja,21.0,19.0,2.0,1.0,110.53,18.0,28.0,2,3.0,9.33
DE Bollinger,21.0,23.0,1.0,1.0,91.3,95.0,122.0,4,15.5,7.71
DG Nalkande,12.0,12.0,0.0,1.0,100.0,51.0,88.0,2,8.3,10.35
DJ Bravo,1560.0,1247.0,120.0,66.0,125.1,2959.0,4015.0,53,493.1,8.14
DJ Harris,45.0,44.0,5.0,1.0,102.27,18.0,26.0,2,3.0,8.67
DJ Hooda,764.0,638.0,39.0,40.0,119.75,366.0,520.0,27,61.0,8.52
DJ Hussey,833.0,666.0,58.0,39.0,125.08,323.0,485.0,22,53.5,9.01
DJ Mitchell,131.0,110.0,11.0,3.0,119.09,51.0,97.0,4,8.3,11.41
DJ Muthuswami,1.0,3.0,0.0,0.0,33.33,6.0,14.0,1,1.0,14.0
DJ Thornely,39.0,48.0,2.0,2.0,81.25,37.0,30.0,3,6.1,4.86
DJ Willey,53.0,64.0,7.0,0.0,82.81,105.0,113.0,5,17.3,6.46
DJG Sammy,272.0,235.0,13.0,17.0,115.74,213.0,305.0,17,35.3,8.59
DJM Short,15.0,23.0,2.0,0.0,65.22,18.0,23.0,2,3.0,7.67
DL Chahar,108.0,76.0,4.0,8.0,142.11,741.0,930.0,13,123.3,7.53
DL Vettori,121.0,118.0,11.0,2.0,102.54,506.0,618.0,15,84.2,7.33
DNT Zoysa,11.0,9.0,1.0,0.0,122.22,43.0,70.0,2,7.1,9.77
DP Nannes,4.0,13.0,0.0,0.0,30.77,74.0,107.0,2,12.2,8.68
DP Vijaykumar,1.0,1.0,0.0,0.0,100.0,24.0,24.0,1,4.0,6.0
DR Sams,44.0,48.0,1.0,3.0,91.67,317.0,408.0,13,52.5,7.72
DR Smith,1877.0,1407.0,192.0,92.0,133.4,532.0,799.0,34,88.4,9.01
DS Kulkarni,104.0,113.0,7.0,2.0,92.04,728.0,939.0,15,121.2,7.74
DT Christian,460.0,408.0,23.0,19.0,112.75,819.0,1101.0,31,136.3,8.07
DW Steyn,167.0,163.0,14.0,3.0,102.45,1307.0,1439.0,26,217.5,6.61
F du Plessis,116.0,79.0,7.0,8.0,146.84,6.0,16.0,1,1.0,16.0
FA Allen,14.0,18.0,1.0,0.0,77.78,49.0,68.0,2,8.1,8.33
FH Edwards,4.0,5.0,0.0,0.0,80.0,53.0,66.0,2,8.5,7.47
FY Fazal,13.0,13.0,1.0,0.0,100.0,6.0,14.0,1,1.0,14.0
Fazalhaq Farooqi,3.0,13.0,0.0,0.0,23.08,43.0,78.0,2,7.1,10.88
G Coetzee,14.0,22.0,0.0,1.0,63.64,87.0,148.0,5,14.3,10.21
GB Hogg,22.0,22.0,1.0,0.0,100.0,123.0,152.0,4,20.3,7.41
GC Viljoen,3.0,7.0,0.0,0.0,42.86,69.0,117.0,3,11.3,10.17
GD McGrath,4.0,5.0,1.0,0.0,80.0,49.0,65.0,2,8.1,7.96
GD Phillips,27.0,25.0,2.0,2.0,108.0,31.0,40.0,4,5.1,7.74
GH Vihari,102.0,103.0,8.0,0.0,99.03,43.0,48.0,6,7.1,6.7
GHS Garton,2.0,4.0,0.0,0.0,50.0,41.0,56.0,2,6.5,8.2
GJ Maxwell,2589.0,1730.0,223.0,143.0,149.65,960.0,1306.0,50,160.0,8.16
GR Napier,15.0,16.0,1.0,0.0,93.75,24.0,28.0,1,4.0,7.0
Gurkeerat Singh,123.0,112.0,11.0,3.0,109.82,82.0,97.0,5,13.4,7.1
HF Gurney,1.0,5.0,0.0,0.0,20.0,13.0,20.0,1,2.1,9.23
HH Pandya,2343.0,1677.0,169.0,130.0,139.71,1459.0,2165.0,47,243.1,8.9
HR Shokeen,66.0,67.0,9.0,0.0,98.51,63.0,91.0,5,10.3,8.67
HV Patel,243.0,212.0,16.0,14.0,114.62,1289.0,1751.0,28,214.5,8.15
Harbhajan Singh,800.0,613.0,74.0,41.0,130.51,3046.0,3611.0,45,507.4,7.11
Harmeet Singh,18.0,12.0,3.0,0.0,150.0,165.0,189.0,4,27.3,6.87
Harpreet Brar,233.0,201.0,19.0,9.0,115.92,515.0,654.0,19,85.5,7.62
Harshit Rana,7.0,9.0,1.0,0.0,77.78,119.0,178.0,4,19.5,8.97
I Malhotra,7.0,4.0,1.0,0.0,175.0,6.0,23.0,1,1.0,23.0
I Sharma,57.0,71.0,4.0,2.0,80.28,1087.0,1450.0,21,181.1,8.0
I Udana,15.0,11.0,1.0,1.0,136.36,68.0,102.0,4,11.2,9.0
IC Pandey,0.0,2.0,0.0,0.0,0.0,13.0,33.0,1,2.1,15.23
IK Pathan,1150.0,985.0,88.0,38.0,116.75,1895.0,2403.0,51,315.5,7.61
IS Sodhi,7.0,18.0,0.0,0.0,38.89,67.0,78.0,2,11.1,6.99
Imran Tahir,33.0,37.0,5.0,0.0,89.19,284.0,389.0,7,47.2,8.22
Iqbal Abdulla,88.0,86.0,9.0,1.0,102.33,409.0,497.0,12,68.1,7.29
J Botha,409.0,364.0,39.0,5.0,112.36,635.0,737.0,25,105.5,6.96
