match_number,batsman,runs_scored,balls_faced,fours,sixes,strike_rate,bowler,balls_bowled,runs_conceded,wickets,overs,economy
1,A Choudhary,6.0,2.0,0.0,1.0,300.0,A Choudhary,28.0,55.0,caught,4.4,12.5
1,A Flintoff,24.0,25.0,2.0,1.0,96.0,A Flintoff,24.0,45.0,caught,4.0,11.25
1,A Nehra,0.0,1.0,0.0,0.0,0.0,A Nehra,43.0,62.0,caughtcaughtbowled,7.1,8.73
1,A Symonds,5.0,9.0,0.0,0.0,55.56,A Symonds,26.0,28.0,0,4.2,6.67
1,AA Noffke,9.0,12.0,1.0,0.0,75.0,AA Noffke,25.0,41.0,caught,4.1,10.0
1,AD Mathews,65.0,49.0,5.0,4.0,132.65,AD Mathews,26.0,27.0,caught,4.2,6.43
1,AD Russell,8.0,11.0,1.0,0.0,72.73,AD Russell,61.0,83.0,caught,10.1,8.22
1,BCJ Cutting,16.0,6.0,0.0,2.0,266.67,BCJ Cutting,24.0,35.0,run out,4.0,8.75
1,BJ Hodge,13.0,12.0,1.0,1.0,108.33,BJ Hodge,12.0,14.0,caught,2.0,7.0
1,C Green,18.0,22.0,1.0,0.0,81.82,C Green,21.0,27.0,caughtcaught,3.3,8.18
1,CJ Anderson,57.0,49.0,4.0,3.0,116.33,CJ Anderson,30.0,54.0,caught,5.0,10.8
1,CL White,6.0,10.0,0.0,0.0,60.0,CL White,7.0,24.0,0,1.1,21.82
1,DE Bollinger,3.0,5.0,0.0,0.0,60.0,DE Bollinger,24.0,35.0,caughtretired hurt,4.0,8.75
1,DJ Bravo,92.0,53.0,7.0,7.0,173.58,DJ Bravo,93.0,89.0,caughtcaughtcaughtcaughtcaughtcaught,15.3,5.82
1,DJ Hooda,16.0,12.0,0.0,1.0,133.33,DJ Hooda,6.0,7.0,caught,1.0,7.0
1,DL Chahar,0.0,1.0,0.0,0.0,0.0,DL Chahar,118.0,133.0,caughtcaughtbowledlbw,19.4,6.86
1,DT Christian,1.0,3.0,0.0,0.0,33.33,DT Christian,13.0,21.0,0,2.1,10.0
1,GJ Maxwell,39.0,31.0,3.0,2.0,125.81,GJ Maxwell,6.0,7.0,0,1.0,7.0
1,HH Pandya,66.0,64.0,6.0,2.0,103.12,HH Pandya,49.0,68.0,caughtcaught and bowledcaught,8.1,8.4
1,HV Patel,4.0,3.0,0.0,0.0,133.33,HV Patel,25.0,27.0,lbwlbwcaughtcaughtbowledrun out,4.1,6.59
1,Harbhajan Singh,57.0,41.0,9.0,1.0,139.02,Harbhajan Singh,140.0,163.0,caughtcaught and bowledbowledcaughtcaught and bowledcaughtrun out,23.2,7.03
1,Harshit Rana,5.0,6.0,1.0,0.0,83.33,Harshit Rana,18.0,32.0,0,3.0,10.67
1,IK Pathan,4.0,7.0,0.0,0.0,57.14,IK Pathan,12.0,15.0,0,2.0,7.5
1,Imran Tahir,2.0,2.0,0.0,0.0,100.0,Imran Tahir,36.0,32.0,caughtcaughtcaughtcaught,6.0,5.33
1,Iqbal Abdulla,3.0,3.0,0.0,0.0,100.0,Iqbal Abdulla,24.0,26.0,caught,4.0,6.5
1,J Botha,7.0,6.0,1.0,0.0,116.67,J Botha,22.0,23.0,lbw,3.4,6.76
