team,total_matches_played,total_wins,win_percentage,total_runs_scored,total_wickets_taken,overs_bowled,total_runs_conceded,bowling_economy
Mumbai Indians,262,142,54.19847328244275,42331,1582,3053.8166666666666,42331,13.861670368773503
Kolkata Knight Riders,252,130,51.587301587301596,39505,1499,2781.6,39505,14.202257693413863
Royal Challengers Bangalore,240,114,47.5,37692,1384,2607.6833333333334,37692,14.454209036117627
Chennai Super Kings,239,139,58.15899581589959,38787,1251,2365.0333333333333,38787,16.400191681583063
Rajasthan Royals,222,110,49.549549549549546,34989,1318,2517.516666666667,34989,13.898219806555401
Kings XI Punjab,190,85,44.73684210526316,30064,1158,2192.25,30064,13.713764397308701
Sunrisers Hyderabad,183,88,48.08743169398907,29357,1064,2096.4,29357,14.003529860713604
Delhi Daredevils,161,67,41.61490683229814,24296,952,1696.0833333333333,24296,14.32476784749177
Delhi Capitals,92,46,50.0,15111,579,1074.0333333333333,15111,14.06939573570032
Deccan Chargers,75,29,38.666666666666664,11463,484,966.8166666666667,11463,11.856436070264959
Punjab Kings,57,25,43.859649122807014,9779,376,707.6666666666666,9779,13.818652849740934
Pune Warriors,46,12,26.08695652173913,6358,298,568.7166666666667,6358,11.179556310992584
Gujarat Titans,46,28,60.86956521739131,7989,252,486.15,7989,16.433199629743907
Lucknow Super Giants,45,24,53.333333333333336,7719,284,535.1,7719,14.425341057746214
Gujarat Lions,30,13,43.333333333333336,4862,188,353.01666666666665,4862,13.772720834710354
Royal Challengers Bengaluru,16,8,50.0,3107,102,206.51666666666668,3107,15.044790573803565
Rising Pune Supergiant,16,10,62.5,2470,90,173.6,2470,14.228110599078342
Kochi Tuskers Kerala,14,6,42.857142857142854,1901,86,163.48333333333335,1901,11.628096645937404
Rising Pune Supergiants,14,5,35.714285714285715,2063,68,135.78333333333333,2063,15.193322695470725
